artist,text
Григорий Лепс,"с ним так много надежд среди прочих вершин
он идет напрямик воем сумрачным льдов
т проигранных битв  т нарушенных клятв
пусть теряется след где то ниже ноля
он уверенно мчит за собою свой верный отряд
но маяк   горит тишина говорит
если б можно бы взять повернуть время вспять
вот это романтика чудеса навигации
бренны все острова к юго западу от корабля
арктика капитан
о так с дко мечтать о других полюсах
из обветренной памятью вечно седых городов
каждый сам как умеет проходит свой меридиан
так высок горизонт меж п кучих орбит
он надежен как холод как п мя он   сокрушим
да все мысли полны кровоточащих ран
там где новых паломников ждет семисол чный скит
и послушен штурвал и   дрог т рука
ослепленная светом я гасну в его парусах
сто ветров завернуть в драгоценные эти шелка"
Григорий Лепс,"тень это пятно это рассвет но бьётся в капле
разрывая наши цепи наполняя наши мели
спрячь шторами звук же ние рук о них
заметно и  слышно после бури как в затишье
ты где то внизу и светит звезда   нам
но ждать чувствуя свет чьих то побед и наград
заставляя думать прежде чем оставить все надежды
а нам нужно успеть что то сказать знать бы что
жизнь входит в берега
тень выльет в окно счастье двоих тайну их
согревая наши души выкупая наши клятвы
сталь ярким крылом рвёт об ка попо м
но мой горизонт сольётся с твоим и ты узнаешь"
Григорий Лепс,"поругаю поцелую
встретил вот
а она уже заочно
г з озера голубые
сковая и родная
встретить смерть свою однажды
м  теперь совсем   страшно
ты наверное от скуки
ты   п чь когда ревную
ой   спится м    спится   спится
ночи напролет   сплю я
у меня виски седые
у тебя с г на ресницах
амур кудесник
хорошо что ты такая
ох   спится м    спится
а при встрече у аллеи
г дишь старческие руки
поправляешь шарф на шее
м дший сын мой ей ровесник
девочку мою такую
ох   спится м    спится   спится
помаха м  п точком"
Григорий Лепс,"родники мои серебрянные
ведь поможешь ты м
если беден я как пес один
посмотри как я любуюсь тобой
позволишь жизнь скомкати
дом хрустальный на горе для  е
мир подводный и надводный свой
сам как пес бы так и рос в цепи
если я богат как царь морской
крикни только м
сравнил бы я любую с тобой
лови блесну
золотые мои россыпи
задумываясь выплесну
и в дому моем шаром кати
хоть казни меня расстреливай"
Григорий Лепс,"мир казался светлым и таким большим
здесь еще вчера бы империя
как было до тебя
и память торопя расставлю вещи в доме по местам
завтра я смогу опять дышать и трогать  ба синь
а ты история теперь ты лишь история
и его мы сде ли и назад уже никак
я пройдусь по комнатам пустым
от любви до безразличия только шаг
я объявлю войну своим мечтам
а потом затмение а теперь измены дым
завтра я смогу опять бежать и трогать  ба синь
я   дам тебе бродить во снах
чувства все остались за преде ми"
Григорий Лепс,"я взлетаю но увы всё м  снится
и смотрю я с высоты мир  бесной красоты
вдаль свободную маня разбивая брызги дня
я взлетел под об ка словно птица
звёзды льются с высоты мир  бесной красоты
понимая что увы всё м  снится
м  снится м  снится водопад
я пришёл издалека ста вдруг крылом рука
свет холодного огня серебрится"
Григорий Лепс,"утоли мои печали
в старом парке пах т хвойной тишиной
как приходят в свою гавань корабли
потерял я где то в бездорожье лет
ни за что теперь   отыскать следов
натали утоли мои печали
я проде л долгий путь
мои волосы от зноя и ветров
и хоть я другим   стал
только время обмануть  возможно
натали от судьбы и от тебя м    уйти
я   свят я виноват перед тобой
может год а может целые века
натали я прошёл пустынью грусти пол земли
целовал я струи многих родников
в дальний край где мы друг друга   нашли
и томился одиночеством вдали
я пришёл к тебе из позабытых снов
сколько времени   виделись с тобой
и качаются на ветках об ка
но с дороги я устал и душа моя в пыли
брал от женщин всё что мог и   секрет
побелели как степные ковыли
натали я вернулся чтоб сказать тебе прости
безоглядную влюблённость и покой"
Григорий Лепс,"гложет сердце крыса ревность
но защищаю  умело
так  жно  жно
чем меньше знаешь лучше спишь
я как лимон на рыбу выжат
себе   в си х отказать
что ты придешь в мою кровать
все как прежде
был мудрый черт
как будто сердце из стек
а разум возразить   смеет
теперь я на себе проверил
в моем сердце крыса ревность
кто это выдумал ко чно
дракона кровью вдруг налилось
как ты посме
и все по кругу
и наяву чертей я вижу
я так хочу спасти тебя
куда луна с  бес уш
и крови требует душа
я могу убить ее
рука сильна и поступь сме
я пью водяру от тоски
измена  т живучей слова
и эта боль дает м  в сть
но сердце   дает понять
запущен дом в пыли мозги
и я парю на черных крыльях
в слюнявой с бенькой надежде
уш сиять в чужой постели
но вместе с  й убью и сердце я
сможем мы ее забыть
может все как прежде быть
снова снова снова
посели сь и пригре сь
он знал потери
в мозгу пульсируют слова"
Григорий Лепс,"я так устал бояться
ошибок было слишком много
жизнь кружи срок истек
слезы мудрость обнажи
и пути день ото дня
я был  прав и с каждым шагом
между строк всегда кавычка
подскажи м  старый черт
часто суть на путь меня
стану каждый день меняться
честь погиб от затрат
страдания и боль ношу
все надежды захлебнулись
ложью жить – моя привычка
старый черт
расскажи м  старый черт
но я пока еще дышу
в старых грезах задуши
где мечта моя лета
верю бог простит меня
дни мои наперечет
страсть засну задохну сь
и душа куда пропа
лесть дешевле во стократ"
Григорий Лепс,"вы тугую   слушайте плеть
вдоль обрыва по над пропастью по самому по краю
хоть  много ещё постою
чуть помедлен е кони чуть помедлен е
я ко й напою
богу   бывает опозданий
хоть мгновенье ещё постою
я ко й своих нагайкою стегаю погоняю
указчики вам кнут и плеть
или это колокольчик весь зашёлся от рыданий
но что то кони м  попались привередливые
коль дожить   успел так хотя бы допеть
я куплет допою
чую с гибельным восторгом пропадаю пропадаю
но что за кони м  попались привередливые
сгину я меня пушинкой ураган сметёт с дони
и дожить   успел м  допеть   успеть
хоть  много но продлите путь к послед му приюту
умоляю вас вскачь   лететь
так что ж там ангелы поют такими злыми голосами
вы на шаг  торопливый перейдите мои кони
мы успели в гости к
и в санях меня галопом повлекут по с гу утром
или я кричу коням чтоб    сли так быстро сани
что то воздуху м  мало ветер пью туман глотаю"
Григорий Лепс,"сил для любви и для  нависти
сил чтобы все  удачи забыл чтоб человек остался как был
господи дай м  сил
сил чтобы просто остаться собой
сил чтобы крикнуть и чтобы молчать
сил чтобы в горе и в радости
сил чтобы сильно   спорить с судьбой
сил чтобы оставить и чтобы  сти
сил чтобы выть и чтобы   выть
сил когда сел и сил когда слез
сил чтобы помнить и чтобы забыть
сил чтобы бросить и чтобы начать
сил чтобы веру свою   убить
сил чтоб в своём бессилье с сти
сил чтобы гангстером №1   быть
сил когда с  й и сил когда без
сил чтобы   просил"
Григорий Лепс,"может сразу стоит обо всем забыть
я поднимаю руки хочу тебе сдаться
я давно   доверяю лишь словам
знаю сколько было у меня подруг
ты со мной готова каждый день делить
ты просто шанс от скуки и  зачем гнаться
даже если и придется вдруг послушной быть
ты горишь твой пожар   потушить
кинув якорь где то тихо мирно плыть
а меня ты знаешь просто так   изменить
но тебя увидел сразу все забылось вдруг
знаю точно там где север а где юг
я давно все выбираю в этой жизни сам
я поднимаю руки но вдруг может статься
ведь ты же так красива в свои восемнадцать
я давно уже читаю по слогам"
Григорий Лепс,"я на задворках мёртвыми губами…
из ничего в ничто бросая семя
искал поддержки я у чужих пророков
у чужих пророков
надо врать что  т пути другого
он любит нас  добавит день к расп те
моя надежда сильно поседе
троньте душу грязными руками
забыв про боль обид и гиблые трясины
живу себе себя воображая
стучится в сердце птицей си крылой
твердит что верность и любовь едины
я попрошу пред образом
при нём   надо думать об исходе
сквозь время память об дает силой
и с каждым годом просто никакая
пред тем как я предстану идиотом"
